street_name,city_name,district_name,borough_name
17. listopadu,Pardubice,Zelené Předměstí,Pardubice I
Anenská,Pardubice,Zelené Předměstí,Pardubice I
Arnošta z Pardubic,Pardubice,Zelené Předměstí,Pardubice I
Bartolomějská,Pardubice,Pardubice-Staré Město,Pardubice I
Bělobranské náměstí,Pardubice,Bílé Předměstí,Pardubice I
Benedettiho,Pardubice,Bílé Předměstí,Pardubice I
Bezdíčkova,Pardubice,Bílé Předměstí,Pardubice I
Bratranců Veverkových,Pardubice,Zelené Předměstí,Pardubice I
Bubeníkova,Pardubice,Bílé Předměstí,Pardubice I
Bubeníkovy sady,Pardubice,Bílé Předměstí,Pardubice I
Bulharská,Pardubice,Bílé Předměstí,Pardubice I
Čechovo nábřeží,Pardubice,Bílé Předměstí,Pardubice I
Automatické mlýny,Pardubice,Bílé Předměstí,Pardubice I
Vodácká,Pardubice,Bílé Předměstí,Pardubice I
Dašická,Pardubice,Bílé Předměstí,Pardubice I
Do Nového,Pardubice,Bílé Předměstí,Pardubice I
Gebauerova,Pardubice,Bílé Předměstí,Pardubice I
Havlíčkova,Pardubice,Zelené Předměstí,Pardubice I
Hlaváčova,Pardubice,Zelené Předměstí,Pardubice I
Holubova,Pardubice,Bílé Předměstí,Pardubice I
Hronovická,Pardubice,Zelené Předměstí,Pardubice I
Husova,Pardubice,Bílé Předměstí,Pardubice I
Jahnova,Pardubice,Pardubice-Staré Město,Pardubice I
Jahnova,Pardubice,Zelené Předměstí,Pardubice I
Jindřišská,Pardubice,Zelené Předměstí,Pardubice I
Jiráskova,Pardubice,Zelené Předměstí,Pardubice I
Jiřího z Poděbrad,Pardubice,Zelené Předměstí,Pardubice I
JUDr. Krpaty,Pardubice,Bílé Předměstí,Pardubice I
Jungmannova,Pardubice,Zelené Předměstí,Pardubice I
K Polabinám,Pardubice,Zelené Předměstí,Pardubice I
K Vápence,Pardubice,Zelené Předměstí,Pardubice I
Karla IV.,Pardubice,Zelené Předměstí,Pardubice I
Ke Kamenci,Pardubice,Bílé Předměstí,Pardubice I
Ke Tvrzi,Pardubice,Bílé Předměstí,Pardubice I
Klášterní,Pardubice,Pardubice-Staré Město,Pardubice I
Komenského náměstí,Pardubice,Pardubice-Staré Město,Pardubice I
Kostelní,Pardubice,Pardubice-Staré Město,Pardubice I
Kotkova,Pardubice,Bílé Předměstí,Pardubice I
kpt. Bartoše,Pardubice,Zelené Předměstí,Pardubice I
kpt. Jaroše,Pardubice,Zelené Předměstí,Pardubice I
Kyjevská,Pardubice,Bílé Předměstí,Pardubice I
Labská,Pardubice,Bílé Předměstí,Pardubice I
Labská,Pardubice,Zelené Předměstí,Pardubice I
